Product Type,Stock Keeping Unit,Price,Availability,Number of products sold,Revenue generated,Gender,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Supply Dates
Health Care,SKU5815,1196,57,297,5560,Other,72,246,76,XpressBees,250,Nova Trading,Bhopal,53,266,59,73.53637992,Pending,2,Sea,312,26-03-2014
Cosmetics ,SKU5816,720,8,264,8630,Male,61,306,24,DHL Express,383,Vertex Manufacturing,Bengaluru,27,915,9,78.30709869,Pending,5,Air,873,27-03-2014
Cosmetics ,SKU5817,722,81,164,8157,Other,89,264,32,Safexpress,257,Vertex Suppliers,Gurgaon,72,474,43,37.94673435,Pass,1,Rail,532,28-03-2014
SkinCare,SKU5818,2077,40,364,7057,Male,95,394,63,XpressBees,409,Apex Manufacturing,Chandigarh,38,990,12,40.15084626,Pending,3,Air,281,29-03-2014
Cloths,SKU5819,1088,50,415,6402,Male,74,321,3,Delhivery,152,Global Trading,Jaipur,56,850,30,6.570270993,Pass,4,Sea,832,30-03-2014
Health Care,SKU5820,1837,7,333,9102,Other,64,277,32,FedEx,470,Vertex Suppliers,Kolkata,72,495,70,67.72019493,Fail,5,Road,738,31-03-2014
Yogamats,SKU5821,523,42,270,4932,Other,69,288,45,FedEx,267,Vertex Industries,Kalaburagi,24,763,41,88.32768598,Pending,5,Sea,158,01-04-2014
Yogamats,SKU5822,1947,79,353,8282,Male,68,314,44,India Post,236,Nova Logistics,Tiruppur,90,191,43,94.25591578,Pass,2,Sea,395,02-04-2014
Cosmetics ,SKU5823,2025,70,172,7053,Other,86,396,12,DHL Express,356,Global Logistics,Kalaburagi,98,469,49,51.37442565,Pending,2,Road,856,03-04-2014
Yogamats,SKU5824,1788,23,251,4682,Male,62,361,10,FedEx,146,Apex Logistics,Vijayawada,32,850,79,87.49071262,Pass,1,Sea,311,04-04-2014
Cosmetics ,SKU5825,1302,87,126,4034,Female,65,303,30,DHL Express,399,Global Industries,Bhopal,36,244,80,85.13306829,Pass,1,Air,821,05-04-2014
Yogamats,SKU5826,1303,7,253,5890,Male,63,495,38,Delhivery,306,Apex Trading,Mangaluru,10,172,62,63.50221036,Pass,1,Sea,161,06-04-2014
Cloths,SKU5827,2581,20,266,8093,Female,78,218,62,India Post,426,Global Logistics,Trichy,77,993,13,22.92107406,Pass,5,Rail,954,07-04-2014
SkinCare,SKU5828,2719,59,369,5247,Female,60,434,33,Delhivery,441,Apex Industries,Bhubaneswar,46,131,5,20.780043,Fail,4,Rail,792,08-04-2014
Health Care,SKU5829,2203,95,500,2476,Female,94,327,74,Mahindra Logistics,494,Prime Logistics,Mysuru,61,313,39,69.26394118,Pending,1,Road,105,09-04-2014
Yogamats,SKU5830,2973,58,408,7739,Female,99,239,68,Blue Dart,203,Global Logistics,Tiruppur,59,496,61,18.1692082,Pass,2,Air,384,10-04-2014
HomeGoods,SKU5831,905,3,277,2028,Female,53,453,53,Mahindra Logistics,234,Apex Trading,Tumakuru,54,255,38,90.77401361,Fail,1,Road,777,11-04-2014
Cloths,SKU5832,2647,91,230,9471,Female,68,385,65,Mahindra Logistics,106,Vertex Trading,Delhi,42,658,11,18.24474753,Fail,3,Sea,871,12-04-2014
Cosmetics ,SKU5833,610,91,301,9558,Other,68,251,49,FedEx,463,Vertex Industries,Bengaluru,82,732,1,82.94621415,Pending,4,Rail,373,13-04-2014
Cloths,SKU5834,1992,39,389,7792,Female,84,422,59,DTDC,175,Vertex Logistics,Chennai,78,603,4,62.95819636,Pending,2,Road,119,14-04-2014
Cosmetics ,SKU5835,1112,23,377,8401,Female,84,289,77,India Post,191,Nova Industries,Hyderabad,45,117,66,45.72698223,Pass,4,Air,220,15-04-2014
Yogamats,SKU5836,1561,31,182,9773,Male,50,450,98,Mahindra Logistics,388,Prime Industries,Jaipur,55,720,68,40.58625592,Fail,3,Road,804,16-04-2014
SkinCare,SKU5837,777,85,288,7541,Female,91,259,50,Safexpress,354,Nova Logistics,Bengaluru,61,824,43,67.39199023,Pending,3,Road,628,17-04-2014
HomeGoods,SKU5838,1967,8,275,9548,Male,80,325,16,DTDC,102,Nova Manufacturing,Vadodara,25,271,76,74.18223191,Fail,2,Sea,637,18-04-2014
SkinCare,SKU5839,908,65,112,2112,Female,94,269,69,Mahindra Logistics,341,Nova Industries,Mangaluru,30,888,3,69.50788834,Pass,2,Sea,218,19-04-2014
Cosmetics ,SKU5840,609,22,314,9503,Male,69,294,56,DHL Express,170,Prime Trading,Trivandrum,30,945,27,52.50021025,Pending,4,Sea,588,20-04-2014
Yogamats,SKU5841,1453,13,226,7198,Male,72,263,89,Mahindra Logistics,199,Global Logistics,Amritsar,98,873,70,36.13211744,Pending,1,Sea,921,21-04-2014
HomeGoods,SKU5842,1944,27,456,7478,Male,77,481,61,Mahindra Logistics,200,Nova Manufacturing,Raipur,21,274,4,63.96473149,Fail,3,Air,737,22-04-2014
Yogamats,SKU5843,1470,25,390,8734,Other,99,326,37,Mahindra Logistics,416,Nova Manufacturing,Madurai,44,291,66,3.543710141,Pending,1,Road,822,23-04-2014
HomeGoods,SKU5844,1262,27,242,8321,Female,85,479,18,DTDC,458,Global Industries,Delhi,76,131,7,50.31906142,Pass,4,Road,205,24-04-2014
Health Care,SKU5845,1028,52,269,6725,Female,55,240,22,XpressBees,458,Prime Trading,Faridabad,89,258,68,33.3934884,Fail,5,Sea,310,25-04-2014
HomeGoods,SKU5846,2727,41,352,7899,Male,64,344,9,DHL Express,384,Vertex Manufacturing,Mangaluru,54,508,42,83.58536539,Fail,4,Sea,934,26-04-2014
Cosmetics ,SKU5847,896,17,131,5863,Female,78,493,69,XpressBees,251,Apex Logistics,Amritsar,12,948,23,68.11657166,Fail,5,Road,109,27-04-2014
Cloths,SKU5848,2604,98,430,2221,Female,86,312,19,India Post,499,Nova Logistics,Hubli,41,634,75,85.05560225,Pass,2,Road,789,28-04-2014
Cloths,SKU5849,1556,24,422,9169,Other,98,306,49,Safexpress,181,Prime Industries,Vijayawada,34,279,68,30.28062652,Fail,4,Road,593,29-04-2014
Yogamats,SKU5850,837,42,482,7684,Male,95,232,20,Mahindra Logistics,410,Nova Logistics,Ballari,26,544,62,18.16419903,Pass,2,Air,774,30-04-2014
HomeGoods,SKU5851,595,89,498,7383,Male,66,293,40,Gati,389,Prime Trading,Bhopal,72,548,72,57.02132428,Pass,5,Sea,261,01-05-2014
Cosmetics ,SKU5852,503,95,290,5830,Female,93,260,58,FedEx,111,Prime Suppliers,Trivandrum,80,883,44,70.32366532,Pending,4,Sea,302,02-05-2014
Health Care,SKU5853,1165,77,204,8973,Other,93,331,92,Safexpress,169,Vertex Suppliers,Ahmedabad,11,598,44,22.94698843,Pass,2,Road,705,03-05-2014
SkinCare,SKU5854,1618,35,368,7004,Other,59,498,96,Blue Dart,224,Nova Logistics,Ahmedabad,86,118,17,79.47541778,Fail,2,Rail,216,04-05-2014
Health Care,SKU5855,2649,43,378,2579,Female,67,451,13,Blue Dart,174,Prime Manufacturing,Raipur,35,114,73,74.18059169,Pass,1,Rail,939,05-05-2014
Health Care,SKU5856,1812,73,447,6930,Female,63,459,38,India Post,315,Global Logistics,Coimbatore,89,459,56,73.74085322,Pass,4,Rail,157,06-05-2014
HomeGoods,SKU5857,1122,96,497,7479,Female,63,257,53,DTDC,188,Nova Trading,Indore,64,288,28,55.12760533,Pending,4,Road,417,07-05-2014
Cosmetics ,SKU5858,1599,29,318,6078,Male,74,338,56,Mahindra Logistics,242,Apex Suppliers,Visakhapatnam,91,986,17,85.97007558,Pending,2,Rail,596,08-05-2014
SkinCare,SKU5859,708,56,412,3837,Male,58,293,55,DHL Express,430,Vertex Suppliers,Hubli,99,109,51,66.40080577,Pass,2,Rail,250,09-05-2014
SkinCare,SKU5860,796,94,173,2788,Other,54,206,85,XpressBees,463,Apex Suppliers,Belagavi,26,611,43,60.65228592,Pending,2,Rail,491,10-05-2014
Cosmetics ,SKU5861,1056,60,381,7586,Female,63,430,65,Blue Dart,341,Prime Suppliers,Visakhapatnam,48,213,74,28.19704849,Pass,3,Air,862,11-05-2014
Cosmetics ,SKU5862,1351,78,441,5876,Female,70,431,22,DHL Express,467,Prime Trading,Jaipur,95,907,34,32.23445407,Fail,1,Road,704,12-05-2014
Cloths,SKU5863,2615,20,302,9933,Female,72,364,95,FedEx,126,Vertex Suppliers,Madurai,94,249,52,63.06280092,Pending,1,Sea,888,13-05-2014
Cosmetics ,SKU5864,1898,75,389,5820,Female,50,485,37,Safexpress,426,Apex Industries,Salem,36,561,50,57.07328986,Fail,2,Air,613,14-05-2014
Health Care,SKU5865,2237,76,104,8746,Other,83,304,8,DHL Express,334,Global Logistics,Davangere,58,332,21,63.82439105,Pass,3,Air,287,15-05-2014
SkinCare,SKU5866,716,58,174,2769,Female,80,367,92,Delhivery,174,Apex Manufacturing,Hyderabad,64,879,52,74.36042308,Fail,4,Rail,401,16-05-2014
Cosmetics ,SKU5867,951,88,356,2623,Male,80,253,60,DHL Express,379,Global Industries,Mumbai,27,751,8,58.90779322,Pass,4,Road,121,17-05-2014
SkinCare,SKU5868,771,64,157,2081,Male,58,417,51,Blue Dart,234,Prime Manufacturing,Mangaluru,8,754,77,71.61424881,Pass,1,Sea,923,18-05-2014
SkinCare,SKU5869,2062,1,167,7954,Female,76,350,72,FedEx,232,Nova Industries,Pune,73,778,8,33.90701408,Pass,3,Road,413,19-05-2014
Health Care,SKU5870,905,97,278,9831,Female,69,381,11,Gati,396,Apex Trading,Dharwad,47,326,11,34.76768242,Fail,5,Rail,798,20-05-2014
HomeGoods,SKU5871,789,14,166,8812,Other,95,345,3,India Post,218,Global Logistics,Bhopal,15,128,53,68.28280156,Pass,4,Sea,265,21-05-2014
Cosmetics ,SKU5872,1950,31,404,9224,Female,77,277,43,Gati,420,Nova Trading,Thrissur,92,729,39,83.62175679,Fail,5,Road,936,22-05-2014
Yogamats,SKU5873,1305,32,254,8260,Other,72,374,2,Mahindra Logistics,164,Nova Industries,Pune,31,430,36,72.38344185,Pass,2,Air,732,23-05-2014
HomeGoods,SKU5874,706,58,394,6865,Male,82,444,34,FedEx,218,Apex Industries,Kalaburagi,67,381,79,45.42132339,Pending,3,Sea,596,24-05-2014
Cloths,SKU5875,2881,8,453,7287,Female,91,246,27,India Post,290,Prime Suppliers,Kannur,88,422,36,99.42929543,Pending,3,Road,407,25-05-2014
Cosmetics ,SKU5876,2937,89,102,2901,Female,64,306,89,Mahindra Logistics,158,Nova Logistics,Patna,71,103,56,87.25013809,Fail,3,Air,849,26-05-2014
HomeGoods,SKU5877,1857,17,318,5057,Male,90,286,57,Blue Dart,349,Global Trading,Madurai,10,254,57,15.67304206,Fail,4,Road,150,27-05-2014
HomeGoods,SKU5878,2031,65,233,6192,Other,80,487,98,India Post,190,Vertex Logistics,Tiruppur,24,192,63,79.85598338,Pending,2,Sea,723,28-05-2014
Yogamats,SKU5879,1093,45,326,9459,Other,76,206,73,Delhivery,108,Prime Manufacturing,Jaipur,63,922,45,28.93425232,Pending,4,Sea,671,29-05-2014
Cosmetics ,SKU5880,937,9,382,6883,Female,88,202,36,FedEx,209,Global Manufacturing,Mumbai,20,855,9,54.98143247,Fail,4,Road,769,30-05-2014
SkinCare,SKU5881,1818,91,294,9017,Other,50,285,61,Gati,443,Apex Trading,Hubli,61,652,52,30.70774512,Pass,2,Road,732,31-05-2014
HomeGoods,SKU5882,2670,16,473,9380,Female,74,200,62,Mahindra Logistics,161,Nova Manufacturing,Patna,69,840,67,58.9603789,Fail,3,Air,150,01-06-2014
Yogamats,SKU5883,612,14,127,5595,Male,84,429,54,DHL Express,357,Global Suppliers,Thrissur,14,910,77,60.77965389,Fail,4,Sea,808,02-06-2014
Cosmetics ,SKU5884,646,65,245,4997,Male,54,291,60,FedEx,466,Nova Industries,Delhi,64,428,16,88.79939893,Pending,3,Sea,844,03-06-2014
Yogamats,SKU5885,1605,42,127,4928,Male,61,361,25,Blue Dart,336,Global Industries,Chandigarh,79,121,61,58.93832964,Fail,1,Air,548,04-06-2014
HomeGoods,SKU5886,890,23,309,2726,Other,59,204,34,DHL Express,433,Vertex Logistics,Ahmedabad,68,592,79,12.94598994,Pending,2,Rail,523,05-06-2014
Cosmetics ,SKU5887,1504,86,375,4208,Male,81,382,20,Delhivery,437,Prime Trading,Ranchi,77,494,16,38.36635444,Pass,3,Sea,714,06-06-2014
Health Care,SKU5888,1496,55,239,8909,Male,80,419,25,Mahindra Logistics,345,Apex Logistics,Kolkata,71,431,73,98.31401921,Fail,2,Air,519,07-06-2014
Yogamats,SKU5889,2332,13,271,4672,Female,77,224,62,Mahindra Logistics,177,Vertex Manufacturing,Bhopal,87,330,54,22.67151668,Pending,2,Air,279,08-06-2014
Health Care,SKU5890,833,89,136,4874,Other,55,229,54,Mahindra Logistics,165,Vertex Suppliers,Vadodara,7,367,72,52.43867951,Pending,4,Sea,242,09-06-2014
Cosmetics ,SKU5891,1091,47,126,9191,Other,96,462,60,Gati,246,Vertex Trading,Hubli,29,437,9,30.86162431,Pending,1,Sea,417,10-06-2014
HomeGoods,SKU5892,2811,98,373,4078,Male,72,222,4,XpressBees,151,Nova Manufacturing,Mysuru,90,798,8,25.98463867,Pass,5,Rail,107,11-06-2014
Health Care,SKU5893,1742,1,385,7650,Male,50,266,25,DTDC,400,Apex Suppliers,Mysuru,52,300,68,88.1673655,Pass,5,Rail,348,12-06-2014
SkinCare,SKU5894,1272,34,217,7849,Other,84,367,49,Safexpress,345,Global Logistics,Madurai,44,504,72,47.20588646,Pending,4,Air,115,13-06-2014
Cloths,SKU5895,1879,27,412,6276,Female,68,264,26,DTDC,242,Nova Logistics,Raipur,71,712,24,57.84920878,Fail,2,Sea,398,14-06-2014
Cloths,SKU5896,1159,69,166,5993,Male,99,309,84,Blue Dart,132,Apex Trading,Kalaburagi,100,1000,9,43.96826679,Pass,1,Road,303,15-06-2014
Cosmetics ,SKU5897,1876,7,472,9539,Female,57,408,25,DTDC,331,Global Trading,Hyderabad,6,625,21,82.61089514,Pending,5,Sea,925,16-06-2014
Health Care,SKU5898,2476,30,257,4901,Male,87,368,70,DTDC,193,Global Logistics,Dharwad,68,635,21,21.86226168,Fail,3,Air,604,17-06-2014
Health Care,SKU5899,2350,11,142,3495,Other,50,294,90,Gati,485,Vertex Logistics,Delhi,16,306,33,7.751342286,Pass,2,Air,689,18-06-2014
Cloths,SKU5900,2920,9,305,9906,Female,68,382,31,Safexpress,407,Vertex Suppliers,Hyderabad,28,839,37,81.92683521,Pending,2,Rail,117,19-06-2014
Yogamats,SKU5901,1570,64,253,8371,Other,99,493,27,Delhivery,309,Vertex Manufacturing,Trivandrum,98,189,80,30.13659846,Fail,2,Rail,352,20-06-2014
Cloths,SKU5902,2203,23,480,5610,Other,100,258,33,India Post,394,Apex Industries,Kozhikode,89,873,20,20.66891802,Pass,3,Road,456,21-06-2014
Health Care,SKU5903,1031,50,387,4268,Female,65,395,72,FedEx,279,Nova Logistics,Hubli,62,918,46,12.6071447,Pending,5,Rail,754,22-06-2014
Health Care,SKU5904,1914,34,356,8757,Female,52,455,92,FedEx,350,Nova Trading,Bhubaneswar,36,875,61,23.79120853,Pending,3,Air,335,23-06-2014
Cosmetics ,SKU5905,2890,15,245,5121,Female,95,449,1,Safexpress,349,Nova Trading,Udupi,14,708,13,26.04496711,Pending,4,Air,401,24-06-2014
Yogamats,SKU5906,1170,64,363,6045,Female,68,281,31,Blue Dart,327,Nova Logistics,Mumbai,72,371,62,86.10333634,Fail,5,Rail,492,25-06-2014
Yogamats,SKU5907,540,68,191,9245,Female,53,369,66,DTDC,477,Global Manufacturing,Kozhikode,2,212,52,37.61791598,Fail,1,Air,186,26-06-2014
HomeGoods,SKU5908,566,61,316,5048,Female,89,271,66,Safexpress,406,Apex Manufacturing,Davangere,34,187,31,11.56856107,Pending,1,Road,345,27-06-2014
HomeGoods,SKU5909,2951,83,319,7585,Male,71,453,65,Safexpress,277,Global Suppliers,Bhopal,10,515,51,71.28467898,Pending,5,Air,119,28-06-2014
Cloths,SKU5910,763,52,212,5512,Female,84,459,3,Mahindra Logistics,325,Global Logistics,Amritsar,44,520,5,74.7724729,Pending,4,Sea,824,29-06-2014
Cosmetics ,SKU5911,1226,84,270,4623,Other,76,463,70,XpressBees,369,Nova Industries,Chennai,1,189,47,89.42255725,Pass,3,Air,951,30-06-2014
Health Care,SKU5912,1252,91,334,5224,Female,91,414,37,Blue Dart,131,Prime Suppliers,Nagpur,95,349,48,67.58489466,Pending,3,Road,164,01-07-2014
Yogamats,SKU5913,2027,94,379,8523,Female,73,489,30,DHL Express,366,Vertex Suppliers,Ballari,86,111,74,93.78034211,Pending,4,Sea,385,02-07-2014
SkinCare,SKU5914,1381,79,120,7442,Male,99,499,58,DHL Express,251,Nova Industries,Jaipur,36,971,11,73.37806958,Fail,4,Rail,279,03-07-2014
Cloths,SKU5915,2556,70,127,2019,Male,85,256,69,Mahindra Logistics,171,Prime Suppliers,Surat,97,616,39,58.14783576,Pass,2,Road,119,04-07-2014
Cosmetics ,SKU5916,2621,74,457,2360,Female,90,441,24,Gati,195,Prime Manufacturing,Tumakuru,38,555,66,21.06250296,Pending,4,Sea,991,05-07-2014
SkinCare,SKU5917,616,56,270,9049,Other,55,431,39,Gati,147,Vertex Industries,Coimbatore,30,297,22,2.091947003,Pass,2,Road,513,06-07-2014
SkinCare,SKU5918,2784,66,302,3726,Male,66,351,96,DTDC,218,Global Industries,Bhubaneswar,78,559,29,22.34379328,Pending,1,Rail,790,07-07-2014
Cloths,SKU5919,2364,51,295,9647,Male,74,239,35,Blue Dart,237,Vertex Industries,Coimbatore,92,997,32,32.13906316,Pending,4,Sea,436,08-07-2014
Cloths,SKU5920,1750,33,305,9192,Female,85,325,95,DHL Express,329,Nova Logistics,Kolkata,54,717,16,2.178917871,Pending,4,Sea,749,09-07-2014
Cosmetics ,SKU5921,2388,91,397,3914,Female,93,317,58,Gati,200,Global Industries,Ranchi,74,534,33,61.18756161,Pass,1,Air,454,10-07-2014
Cloths,SKU5922,2945,21,232,7323,Female,67,366,52,Gati,201,Apex Trading,Coimbatore,26,177,16,14.09280422,Pending,4,Road,157,11-07-2014
HomeGoods,SKU5923,2210,38,274,6951,Male,56,490,37,XpressBees,443,Apex Industries,Chennai,100,723,67,38.89023406,Fail,1,Road,124,12-07-2014
SkinCare,SKU5924,571,56,231,2484,Male,77,411,75,Safexpress,466,Apex Logistics,Gurgaon,81,670,64,43.59984677,Fail,5,Air,274,13-07-2014
HomeGoods,SKU5925,555,47,345,3693,Male,52,489,100,Safexpress,456,Global Logistics,Ludhiana,78,453,68,52.79879104,Fail,1,Road,359,14-07-2014
HomeGoods,SKU5926,1105,19,195,3289,Female,91,483,59,Mahindra Logistics,483,Prime Logistics,Raipur,46,437,34,43.83717435,Pass,3,Air,277,15-07-2014
Cloths,SKU5927,2962,98,339,5805,Male,90,321,15,Safexpress,271,Prime Trading,Pune,92,581,25,36.38009202,Fail,3,Rail,855,16-07-2014
SkinCare,SKU5928,744,89,140,2656,Male,68,344,82,Blue Dart,477,Prime Industries,Hyderabad,50,461,65,91.09483933,Pending,2,Road,471,17-07-2014
Cosmetics ,SKU5929,2827,69,190,6286,Male,76,449,64,Delhivery,261,Nova Manufacturing,Salem,44,376,31,63.37978337,Fail,5,Rail,802,18-07-2014
Cloths,SKU5930,2005,99,119,2046,Male,78,314,85,Delhivery,267,Vertex Trading,Nagpur,33,252,69,92.39358288,Pending,1,Air,307,19-07-2014
HomeGoods,SKU5931,1149,79,259,3786,Female,70,488,85,FedEx,193,Prime Logistics,Kochi,4,966,76,60.16077074,Pending,1,Sea,639,20-07-2014
Cloths,SKU5932,1809,43,162,3680,Male,71,453,28,DTDC,161,Global Industries,Salem,52,684,18,36.29241494,Fail,5,Road,240,21-07-2014
Cosmetics ,SKU5933,1404,32,143,7269,Other,88,320,28,FedEx,133,Prime Trading,Surat,75,854,19,50.9900123,Pending,1,Air,135,22-07-2014
Yogamats,SKU5934,2932,99,226,9893,Male,66,298,24,India Post,448,Apex Logistics,Bhubaneswar,91,155,61,8.953699863,Pass,1,Rail,878,23-07-2014
HomeGoods,SKU5935,1304,87,477,4582,Male,69,345,3,India Post,482,Prime Trading,Raipur,4,117,79,46.13234867,Pending,2,Rail,561,24-07-2014
HomeGoods,SKU5936,673,78,139,8275,Male,92,487,71,FedEx,214,Nova Manufacturing,Dharwad,36,553,6,60.30406185,Fail,1,Rail,769,25-07-2014
Cloths,SKU5937,530,13,295,2721,Male,66,345,17,Delhivery,185,Apex Trading,Thrissur,99,149,1,48.86651676,Pass,2,Sea,443,26-07-2014
Yogamats,SKU5938,2713,7,174,9848,Female,54,287,12,XpressBees,114,Prime Suppliers,Mysuru,100,754,59,93.9895506,Fail,3,Road,150,27-07-2014
Health Care,SKU5939,2206,3,395,7303,Male,60,373,30,Safexpress,325,Apex Logistics,Tiruppur,64,640,54,29.63701559,Fail,2,Air,781,28-07-2014
Yogamats,SKU5940,1177,86,174,4249,Male,58,310,88,Delhivery,422,Vertex Trading,Dharwad,58,117,52,91.10891198,Pending,3,Road,223,29-07-2014
HomeGoods,SKU5941,1658,42,226,6775,Male,91,437,42,Safexpress,474,Vertex Trading,Kannur,95,150,30,77.31699728,Fail,3,Air,282,30-07-2014
Cosmetics ,SKU5942,1152,85,496,4178,Other,91,470,39,Blue Dart,231,Vertex Logistics,Kozhikode,69,436,1,83.27468525,Pending,4,Air,362,31-07-2014
HomeGoods,SKU5943,1291,50,436,5147,Female,53,319,23,Blue Dart,150,Global Trading,Coimbatore,55,925,58,8.249541389,Pass,2,Sea,929,01-08-2014
Health Care,SKU5944,1317,47,429,6857,Female,52,434,6,Delhivery,484,Prime Industries,Surat,55,710,1,84.12688567,Pending,5,Air,464,02-08-2014
SkinCare,SKU5945,725,95,196,6673,Female,57,337,7,XpressBees,174,Apex Industries,Gurgaon,16,771,4,77.488582,Pending,4,Air,235,03-08-2014
HomeGoods,SKU5946,1677,56,192,8648,Female,96,208,97,DTDC,412,Prime Suppliers,Hubli,34,212,5,97.81993299,Fail,3,Road,577,04-08-2014
Health Care,SKU5947,1161,87,255,9615,Male,65,367,86,Safexpress,282,Nova Industries,Tumakuru,5,237,68,11.67383982,Pass,5,Rail,903,05-08-2014
SkinCare,SKU5948,2274,16,212,8388,Other,57,428,58,Blue Dart,354,Vertex Trading,Faridabad,94,138,16,98.32493419,Pass,3,Road,850,06-08-2014
Cosmetics ,SKU5949,1643,31,465,2852,Other,84,486,77,DTDC,116,Apex Trading,Bhopal,83,750,20,77.65556407,Pending,5,Sea,480,07-08-2014
SkinCare,SKU5950,1313,2,303,6995,Female,80,211,15,FedEx,220,Prime Industries,Tiruppur,36,238,11,53.95908348,Pending,3,Road,257,08-08-2014
Health Care,SKU5951,2856,97,157,2037,Female,88,409,38,DHL Express,253,Apex Trading,Raipur,22,950,14,35.9642506,Pass,5,Rail,117,09-08-2014
Cosmetics ,SKU5952,2899,10,270,5657,Other,67,324,76,Blue Dart,388,Vertex Suppliers,Indore,35,275,55,75.14622581,Fail,1,Rail,421,10-08-2014
SkinCare,SKU5953,2698,36,490,7585,Female,79,468,57,Mahindra Logistics,435,Nova Suppliers,Coimbatore,69,200,73,83.80367276,Pending,1,Rail,316,11-08-2014
Health Care,SKU5954,2722,20,157,7545,Male,91,471,55,FedEx,434,Global Manufacturing,Ballari,15,794,80,31.74946666,Pass,5,Sea,996,12-08-2014
HomeGoods,SKU5955,1831,20,197,7406,Male,70,349,90,Safexpress,225,Apex Logistics,Trivandrum,51,482,22,72.61383699,Pending,3,Air,289,13-08-2014
Health Care,SKU5956,2703,5,386,6819,Male,93,372,22,FedEx,248,Vertex Industries,Belagavi,29,789,29,15.56957602,Pass,4,Road,389,14-08-2014
SkinCare,SKU5957,1005,82,494,6745,Male,58,221,67,Safexpress,187,Nova Trading,Cuttack,10,862,17,39.56261615,Pending,1,Rail,392,15-08-2014
Cloths,SKU5958,2244,11,118,5439,Female,99,491,69,DTDC,414,Nova Logistics,Surat,54,756,11,55.30449539,Pending,5,Rail,936,16-08-2014
HomeGoods,SKU5959,2786,88,417,5105,Male,67,414,54,DTDC,202,Vertex Suppliers,Bengaluru,63,667,42,18.32161389,Pending,5,Air,878,17-08-2014
Yogamats,SKU5960,1305,30,316,8016,Female,94,381,41,XpressBees,375,Global Industries,Mumbai,10,392,38,39.00934041,Pass,3,Sea,426,18-08-2014
SkinCare,SKU5961,1647,6,254,4119,Female,77,294,5,FedEx,143,Global Suppliers,Davangere,29,143,36,35.10817809,Fail,3,Air,409,19-08-2014
Cosmetics ,SKU5962,647,11,431,7063,Male,96,223,46,India Post,234,Nova Industries,Jaipur,8,693,58,46.26293406,Fail,5,Sea,180,20-08-2014
Health Care,SKU5963,1097,61,429,9806,Other,94,379,48,Blue Dart,429,Nova Suppliers,Nagpur,71,181,17,91.01283524,Pending,1,Road,952,21-08-2014
HomeGoods,SKU5964,1333,99,150,6403,Male,68,375,34,DTDC,208,Nova Manufacturing,Bhopal,42,414,78,87.4274629,Pending,3,Road,390,22-08-2014
HomeGoods,SKU5965,2663,74,261,4051,Male,69,405,96,DTDC,328,Vertex Logistics,Ahmedabad,19,289,10,97.22389737,Pass,2,Rail,757,23-08-2014
Yogamats,SKU5966,2509,35,355,2517,Other,92,461,92,Mahindra Logistics,484,Nova Logistics,Raipur,10,657,35,6.646348294,Fail,2,Air,401,24-08-2014
Yogamats,SKU5967,2939,25,261,5965,Female,94,201,29,Blue Dart,222,Prime Trading,Kozhikode,62,602,11,8.31320108,Pass,4,Air,274,25-08-2014
Cloths,SKU5968,1869,43,288,5389,Other,67,265,79,DHL Express,182,Global Logistics,Ballari,37,781,36,54.66218335,Pass,3,Air,730,26-08-2014
HomeGoods,SKU5969,2371,73,121,6456,Female,98,459,100,Gati,298,Global Trading,Ballari,53,886,70,7.672167279,Pass,4,Road,195,27-08-2014
SkinCare,SKU5970,2240,64,166,7626,Female,72,379,99,Mahindra Logistics,291,Prime Logistics,Tumakuru,87,379,74,42.52918869,Pending,3,Rail,956,28-08-2014
Health Care,SKU5971,566,95,314,8958,Male,87,228,31,DTDC,302,Nova Suppliers,Davangere,41,397,58,64.70341973,Fail,2,Rail,497,29-08-2014
HomeGoods,SKU5972,2510,38,225,5415,Male,59,354,48,Blue Dart,461,Global Suppliers,Kozhikode,97,172,74,12.74713307,Pending,4,Sea,159,30-08-2014
Health Care,SKU5973,2589,16,268,5815,Female,62,326,95,India Post,410,Apex Manufacturing,Bengaluru,13,359,13,93.16904145,Pass,5,Air,611,31-08-2014
Cloths,SKU5974,2723,61,387,7005,Male,86,385,27,XpressBees,454,Vertex Logistics,Bhopal,67,331,32,71.31192706,Pass,4,Air,269,01-09-2014
Health Care,SKU5975,1692,32,500,9146,Female,82,372,20,Blue Dart,472,Nova Logistics,Faridabad,14,456,44,44.41216154,Fail,4,Road,834,02-09-2014
SkinCare,SKU5976,2292,95,102,2502,Male,60,425,96,DTDC,196,Nova Industries,Jaipur,3,947,6,78.26718069,Pending,4,Road,919,03-09-2014
Cloths,SKU5977,1972,24,472,5327,Male,83,367,35,DHL Express,158,Global Industries,Mumbai,75,150,29,28.67967906,Fail,1,Sea,734,04-09-2014
SkinCare,SKU5978,1243,51,495,8015,Female,93,415,22,Gati,127,Global Manufacturing,Vijayawada,80,340,70,17.43010767,Pending,2,Sea,862,05-09-2014
Health Care,SKU5979,1747,84,211,4572,Male,92,500,71,FedEx,184,Global Industries,Ludhiana,38,709,23,3.843375615,Pending,2,Road,822,06-09-2014
